Genotype,nitrogen,Cob_Width_2018,Cob_Weight_2018,Cob_Length_2018,Weight_of_20_Kernel_2018
B97,+N,23.44,14.78,12.35,5.1
B97,+N,23.44,14.78,12.35,5.3
C103,+N,23.6,19.85,14.9,3.6
C103,+N,23.6,19.85,14.9,4.1
C103,+N,23.6,19.85,12,3.6
C103,+N,23.6,19.85,12,4.1
C103,+N,23.6,13.55,14.9,3.6
C103,+N,23.6,13.55,14.9,4.1
C103,+N,23.6,13.55,12,3.6
C103,+N,23.6,13.55,12,4.1
C103,+N,20.425,19.85,14.9,3.6
C103,+N,20.425,19.85,14.9,4.1
C103,+N,20.425,19.85,12,3.6
C103,+N,20.425,19.85,12,4.1
C103,+N,20.425,13.55,14.9,3.6
C103,+N,20.425,13.55,14.9,4.1
C103,+N,20.425,13.55,12,3.6
C103,+N,20.425,13.55,12,4.1
C123,+N,21.95,13.7,15.55,4.1
C123,+N,21.95,13.7,15.55,3.6
C123,+N,22.5,13.7,14.025,4.1
C123,+N,22.5,13.7,14.025,3.6
C123,+N,21.95,13.7,14.025,4.1
C123,+N,21.95,13.7,14.025,3.6
C123,+N,22.5,13.7,15.55,4.1
C123,+N,22.5,13.7,15.55,3.6
C123,+N,21.95,13.7,14.025,4.1
C123,+N,21.95,13.7,14.025,3.6
C123,+N,22.5,13.7,15.55,4.1
C123,+N,22.5,13.7,15.55,3.6
C123,+N,22.5,13.7,14.025,4.1
C123,+N,22.5,13.7,14.025,3.6
C123,+N,21.95,13.7,15.55,4.1
C123,+N,21.95,13.7,15.55,3.6
C49,+N,,10.73333333,10.73333333,4.6
C49,+N,25.23333333,10.73333333,10.73333333,4.6
C49A,+N,26.95,14.5,11.2,3.8
C49A,+N,26.95,14.5,11.2,4.6
C49A,+N,26.95,14.5,9.9,3.8
C49A,+N,26.95,14.5,9.9,4.6
C49A,+N,28.4,12.6,11.2,3.8
C49A,+N,28.4,12.6,11.2,4.6
C49A,+N,28.4,12.6,9.9,3.8
C49A,+N,28.4,12.6,9.9,4.6
C49A,+N,28.4,14.5,11.2,3.8
C49A,+N,28.4,14.5,11.2,4.6
C49A,+N,28.4,14.5,9.9,3.8
C49A,+N,28.4,14.5,9.9,4.6
C49A,+N,26.95,12.6,9.9,3.8
C49A,+N,26.95,12.6,9.9,4.6
C49A,+N,26.95,12.6,11.2,3.8
C49A,+N,26.95,12.6,11.2,4.6
CH9,+N,23.8,13.48333333,10.2,6.5
CH9,+N,23.8,13.48333333,10.2,3.4
CH9,+N,23.8,13.48333333,10.91666667,6.5
CH9,+N,23.8,13.48333333,10.91666667,3.4
CH9,+N,23.8,17,10.2,6.5
CH9,+N,23.8,17,10.2,3.4
CH9,+N,23.8,17,10.91666667,6.5
CH9,+N,23.8,17,10.91666667,3.4
CH9,+N,25,13.48333333,10.2,6.5
CH9,+N,25,13.48333333,10.2,3.4
CH9,+N,25,13.48333333,10.91666667,6.5
CH9,+N,25,13.48333333,10.91666667,3.4
CH9,+N,25,17,10.2,6.5
CH9,+N,25,17,10.2,3.4
CH9,+N,25,17,10.91666667,6.5
CH9,+N,25,17,10.91666667,3.4
CI3A,+N,25.23333333,10.36666667,7.166666667,5
CI3A,+N,,10.36666667,7.166666667,5
CI64,+N,24.26,11.58,10.5,4.4
CI64,+N,24.26,11.58,10.5,4.3
CI64,+N,24.64,9.38,10.76,4.4
CI64,+N,24.64,9.38,10.76,4.3
CI64,+N,24.26,11.58,10.76,4.4
CI64,+N,24.26,11.58,10.76,4.3
CI64,+N,24.26,9.38,10.5,4.4
CI64,+N,24.26,9.38,10.5,4.3
CI64,+N,24.64,11.58,10.76,4.4
CI64,+N,24.64,11.58,10.76,4.3
CI64,+N,24.64,11.58,10.5,4.4
CI64,+N,24.64,11.58,10.5,4.3
